Start of Data
Temperature: 76.52 F; 24.73 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.34 F; 24.63 C
Temperature: 76.16 F; 24.53 C
Temperature: 76.16 F; 24.53 C
Temperature: 76.16 F; 24.53 C
Temperature: 76.16 F; 24.53 C
Temperature: 75.98 F; 24.43 C
Temperature: 75.98 F; 24.43 C
Temperature: 75.98 F; 24.43 C
Temperature: 75.98 F; 24.43 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.43 F; 24.13 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.61 F; 24.23 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.79 F; 24.33 C
Temperature: 75.98 F; 24.43 C
Temperature: 76.34 F; 24.63 C
Temperature: 78.51 F; 25.84 C
Temperature: 80.88 F; 27.16 C
Temperature: 82.35 F; 27.97 C
Temperature: 83.46 F; 28.59 C
Temperature: 84.02 F; 28.90 C
Temperature: 84.58 F; 29.21 C
Temperature: 84.95 F; 29.42 C
Temperature: 85.32 F; 29.62 C
Temperature: 85.51 F; 29.73 C
Temperature: 85.70 F; 29.83 C
Temperature: 85.88 F; 29.94 C
Temperature: 86.07 F; 30.04 C
Temperature: 86.07 F; 30.04 C
Temperature: 86.07 F; 30.04 C
Temperature: 86.26 F; 30.14 C
Temperature: 86.45 F; 30.25 C
Temperature: 86.64 F; 30.35 C
Temperature: 86.82 F; 30.46 C
Temperature: 86.82 F; 30.46 C
Temperature: 87.01 F; 30.56 C
Temperature: 87.01 F; 30.56 C
Temperature: 87.20 F; 30.67 C
Temperature: 87.20 F; 30.67 C
Temperature: 87.20 F; 30.67 C
Temperature: 87.39 F; 30.77 C
Temperature: 87.39 F; 30.77 C
Temperature: 87.39 F; 30.77 C
Temperature: 87.39 F; 30.77 C
Temperature: 87.39 F; 30.77 C
Temperature: 87.58 F; 30.88 C
Temperature: 87.58 F; 30.88 C
Temperature: 87.58 F; 30.88 C
Temperature: 87.58 F; 30.88 C
Temperature: 87.58 F; 30.88 C
Temperature: 87.39 F; 30.77 C
Temperature: 87.01 F; 30.56 C
Temperature: 86.45 F; 30.25 C
Temperature: 85.70 F; 29.83 C
Temperature: 84.95 F; 29.42 C
Temperature: 84.20 F; 29.00 C
Temperature: 83.65 F; 28.69 C
Temperature: 83.09 F; 28.38 C
